participant,index,condition_1,condition_2,model_type,resolution,rating,trial_duration,n_collisions,standardized_rating,standardized_trial_duration,standardized_n_collisions
HC04,0,CE1,complex,Canny,100.0,1.0,40.24,4.5,-1.6803361008336117,1.3591877724991404,2.5157429282137675
HC05,1,CE1,complex,Canny,100.0,1.0,60.315000000000005,4.5,-2.391929439216103,2.456049397826775,2.6752270226359314
HC06,2,CE1,complex,Canny,100.0,1.0,50.85,6.5,-2.206922275549992,1.7177937967089156,3.469836281168111
HC07,3,CE1,complex,Canny,100.0,1.0,38.655,6.5,-1.570783981661042,1.8349673273646088,2.58434502212487
HC08,4,CE1,complex,Canny,100.0,2.5,40.19,1.0,-1.7660984608976098,1.0429631413026983,-0.1767165978292205
HC09,5,CE1,complex,Canny,100.0,1.0,48.78,5.5,-2.4513835790774747,3.02467717936634,2.9993866328695917
HC11,6,CE1,complex,Canny,100.0,3.0,35.265,3.5,-2.3556901894696174,1.6997582446838977,1.341862600304233
HC12,7,CE1,complex,Canny,100.0,2.5,69.57,3.5,-1.6599502349795598,1.995762912609839,1.6113756277207885
HC13,8,CE1,complex,Canny,100.0,2.5,29.94,3.0,-2.042456115593915,2.2434341712182095,1.8603239193070014
HC14,9,CE1,complex,Canny,100.0,1.0,45.43,3.5,-2.267979597352219,2.67051933779749,1.6864200559297249
HC15,10,CE1,complex,Canny,100.0,6.5,95.245,6.0,-1.106007036940545,2.4223156819779486,3.196443015043026
HC16,11,CE1,complex,Canny,100.0,2.0,43.084999999999994,4.5,-2.165726520810113,1.6065282024735574,2.639679034542913
HC17,12,CE1,complex,Canny,100.0,2.5,59.055,2.5,-1.9653543135769072,2.5076799804066727,1.3127366015918847
HC18,13,CE1,complex,Canny,100.0,2.5,46.19,4.0,-2.474901005939604,1.8415938860221204,3.386833771977442
HC19,14,CE1,complex,Canny,100.0,1.0,45.78,5.5,-2.3149953124581693,1.7734783850004772,2.5714944045154153
HC20,15,CE1,complex,Canny,100.0,1.0,54.555,3.5,-1.847993254928462,2.0548720198486423,2.464887476704118
HC21,16,CE1,complex,Canny,100.0,2.0,89.41499999999999,5.0,-2.3199493594301863,2.312984745406429,2.7070420514169404
HC22,17,CE1,complex,Canny,100.0,1.5,43.785,5.0,-2.0260930855933945,2.400229170646143,3.1320524815610526
HC23,18,CE1,complex,Canny,100.0,1.0,54.025,5.5,-2.241715403521137,2.252399989274542,2.5839509403042427
HC24,19,CE1,complex,Canny,100.0,2.0,70.99000000000001,3.0,-1.849216350366208,2.3502080694256264,3.226093251128154
HC04,20,CE1,simple,Canny,100.0,1.0,41.685,3.5,-1.6803361008336117,1.610744138975126,1.8157101134064584
HC05,21,CE1,simple,Canny,100.0,1.5,55.900000000000006,4.0,-2.148165929487073,2.0830614811063977,2.3155326330378228
HC06,22,CE1,simple,Canny,100.0,2.5,49.465,2.0,-1.4763549015748223,1.57888340009874,0.7093035491890614
HC07,23,CE1,simple,Canny,100.0,1.0,33.305,4.5,-1.570783981661042,1.0775865316540607,1.587971037691185
HC08,24,CE1,simple,Canny,100.0,2.0,36.45,2.5,-2.073246019314585,0.6608477039944672,1.0350543587140058
HC09,25,CE1,simple,Canny,100.0,3.5,32.855000000000004,2.0,-1.367899124236602,0.9721644417002728,0.6826190267910106
HC11,26,CE1,simple,Canny,100.0,4.0,30.619999999999997,1.5,-1.5273156173484332,0.9086135273210832,0.040662503039522215
HC12,27,CE1,simple,Canny,100.0,1.5,67.675,5.0,-2.170704153434809,1.8361587306948741,2.73233258613525
HC13,28,CE1,simple,Canny,100.0,3.0,23.0,2.0,-1.7607380306844094,0.8161097549455344,0.9583486857036068
HC14,29,CE1,simple,Canny,100.0,2.0,30.75,3.0,-1.8460299048215738,0.7881810667478414,1.3313842546813617
HC15,30,CE1,simple,Canny,100.0,5.5,82.745,2.5,-2.5216960442244427,1.807939664888766,1.052720753457284
HC16,31,CE1,simple,Canny,100.0,3.0,42.135000000000005,3.0,-1.4656937060028037,1.4863104612915377,1.4878190921969148
HC17,32,CE1,simple,Canny,100.0,3.0,47.095,3.0,-1.7484876306994552,1.34851856910511,1.7245755354246328
HC18,33,CE1,simple,Canny,100.0,4.5,43.565,1.5,-1.0349586024838344,1.4849509201988162,0.945872494876583
HC19,34,CE1,simple,Canny,100.0,1.5,46.22,4.5,-1.9518587928568878,1.8501740532258184,1.9385111664808514
HC20,35,CE1,simple,Canny,100.0,1.5,51.43,2.5,-1.622284155089871,1.7240919387423284,1.5145694133965062
HC21,36,CE1,simple,Canny,100.0,3.5,74.88,4.0,-1.5301793647305484,1.4250331909907221,2.0557236631060976
HC22,37,CE1,simple,Canny,100.0,2.0,43.41,2.0,-1.805565947025406,2.3578945977027694,0.9532333639533638
HC23,38,CE1,simple,Canny,100.0,2.0,47.705,3.0,-1.8069584767776437,1.4297362353359386,1.052720753457284
HC24,39,CE1,simple,Canny,100.0,2.0,57.18,1.5,-1.849216350366208,1.3268420395696092,1.3143342874966553
