,model_name,actions,x_pos,y_pos,q0,q1,q2
0,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,1,1,41.59469,25.378105,26.51718
1,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,2,1,40.148907,26.62104,32.997593
2,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,3,1,39.969105,30.308758,26.828087
3,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,4,1,29.992662,25.252056,24.818562
4,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,5,1,30.717344,27.940819,29.45562
5,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,6,1,29.312464,29.162643,26.213589
6,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,2,6,0,-26.477386,30.76424,34.473263
7,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,7,0,40.58705,14.928742,0.1379772
8,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,8,0,40.348206,-20.190073,11.813008
9,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,9,0,43.223194,24.554432,10.133794
10,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,10,0,41.0344,18.625496,13.74589
11,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,11,0,38.239674,15.631131,18.202995
12,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,12,0,32.17669,-28.102121,13.656745
13,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,13,0,24.12998,21.21497,7.8284626
14,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,14,0,19.703978,15.60765,1.2695953
15,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,1,14,1,3.7907631,22.371931,3.2619467
16,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,1,14,2,-6.412176,28.124584,12.566258
17,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,15,2,44.11213,15.614986,14.779174
18,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,16,2,30.251421,13.643481,-13.365472
19,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,17,2,26.056026,11.391604,19.100853
20,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,18,2,32.51245,15.057565,29.502283
21,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,2,18,1,-34.549076,10.855819,27.923347
22,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,19,1,39.494366,22.575087,26.747978
23,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,20,1,42.773697,-6.0098214,10.675522
24,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,21,1,40.842163,18.588245,26.80427
25,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,22,1,38.16739,25.707355,28.510395
26,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,23,1,36.361122,27.429647,18.03913
27,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,1,23,2,23.632408,29.011173,0.2607003
28,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,24,2,43.10425,16.87502,20.151306
29,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,25,2,40.567307,20.260654,15.789654
30,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,26,2,42.874,22.720123,28.276276
31,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,27,2,42.056244,15.894187,17.423315
32,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,28,2,30.4452,16.495943,-22.802584
33,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,29,2,29.456228,5.5806093,20.702175
34,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,30,2,30.66567,2.3164496,27.130772
35,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,2,30,1,-7.395069,-5.037177,28.027073
36,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,31,1,34.594208,12.083035,24.952919
37,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,32,1,35.05786,5.5880947,-8.962338
38,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,33,1,39.077263,14.670209,23.332764
39,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,34,1,37.16084,9.903857,32.90513
40,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,35,1,37.04087,17.052357,33.436623
41,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,36,1,35.967113,-7.107822,31.302937
42,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,37,1,38.190002,18.810188,30.568485
43,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,38,1,38.048714,17.357853,35.45771
44,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,39,1,35.801155,19.01124,35.39842
45,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,40,1,27.784975,-8.865949,21.032307
46,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,41,1,31.7548,15.775399,26.116482
47,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,42,1,28.297155,7.9459352,26.537996
48,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,2,42,0,-7.544797,6.001537,22.78193
49,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,43,0,39.109726,18.06763,15.586011
50,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,44,0,39.341347,-11.306836,14.814864
51,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,45,0,36.103313,21.115082,11.744132
52,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,46,0,37.828594,28.52774,14.558412
53,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,47,0,37.58062,32.453598,12.850722
54,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,48,0,40.024055,14.155085,9.978701
55,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,49,0,36.92878,20.555614,14.041509
56,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,50,0,39.440308,19.187347,16.475735
57,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,51,0,39.119762,21.568123,17.52112
58,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,52,0,31.453154,-26.833826,10.693375
59,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,53,0,27.884823,21.715984,10.11778
60,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,54,0,21.70712,18.822908,1.3056449
61,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,1,54,1,-2.5502229,21.630013,-3.265186
62,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,1,54,2,-8.067827,26.834087,10.676461
63,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,55,2,44.308746,22.481813,13.655224
64,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,56,2,27.906084,10.856033,-6.254976
65,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,57,2,25.897202,9.468863,22.715996
66,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,58,2,31.23476,13.097644,26.98571
67,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,2,58,1,-35.798294,13.350148,31.55663
68,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,59,1,42.817978,14.184176,28.306498
69,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,60,1,40.804714,-13.494777,30.062557
70,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,61,1,41.77475,20.125074,31.457108
71,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,62,1,40.938015,13.347848,34.66678
72,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,63,1,40.773922,22.71215,28.15412
73,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,64,1,36.42667,-0.2276472,21.54494
74,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,65,1,38.138298,24.988405,19.017962
75,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,66,1,39.373367,29.570087,15.069617
76,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,67,1,38.22883,28.75659,9.971553
77,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,68,1,30.466055,22.769047,-12.623359
78,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,69,1,30.509924,20.603714,20.301868
79,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,70,1,31.390772,16.568783,27.323738
80,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,2,70,0,-8.428484,15.294514,27.247871
81,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,71,0,42.969223,20.072617,15.560689
82,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,72,0,26.55942,-17.728935,6.0863647
83,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,1,72,1,29.106407,30.062395,8.635204
84,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,73,1,40.983635,26.752647,23.938545
85,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,74,1,37.656635,31.486935,18.771671
86,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,75,1,42.088135,29.981205,17.256416
87,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,76,1,43.247833,33.720142,-7.00439
88,exp0-nov2023_comp_plain-seed_0-mode_camera-vision,0,77,1,42.662643,27.222855,21.115578
