episode,step_count,wall_collisions,box_collisions,endless_loops,reward,epsilon,train_loss,validation
0,25,25,0,5,-380.0,0,0,1
0,0,0,0,0,0,0.943475,0,0
1,12,3,0,1,-32.0,0.95,0,0
2,6,3,0,1,-48.0,0.95,0,0
3,27,3,1,0,22.0,0.95,0,0
4,44,11,0,1,-22.0,0.95,0,0
5,17,3,1,0,-12.0,0.95,0,0
6,42,17,0,1,-170.0,0.95,0,0
7,16,2,1,0,3.0,0.95,0,0
8,18,5,1,0,-41.0,0.95,0,0
9,17,7,0,1,-82.0,0.95,0,0
10,13,6,0,1,-64.0,0.95,0,0
11,13,1,1,0,31.0,0.95,0,0
12,18,7,0,1,-72.0,0.95,0,0
13,6,2,0,1,-34.0,0.95,0,0
14,6,5,0,1,-76.0,0.95,0,0
15,17,3,0,1,-26.0,0.95,0,0
16,8,2,0,1,-25.0,0.95,0,0
17,12,2,0,1,-7.0,0.95,0,0
18,15,3,1,0,-10.0,0.95,0,0
19,8,2,0,1,-25.0,0.95,0,0
20,18,2,1,0,12.0,0.95,0,0
21,7,3,0,1,-38.0,0.95,0,0
22,14,2,0,1,2.0,0.95,0,0
23,31,6,0,1,-49.0,0.95,0,0
24,36,8,1,0,-57.0,0.95,0,0
25,6,3,0,1,-48.0,0.95,0,0
26,24,5,0,1,-6.0,0.95,0,0
27,6,3,0,1,-48.0,0.95,0,0
28,11,2,0,1,-17.0,0.95,0,0
29,33,9,0,1,-49.0,0.95,0,0
30,24,5,0,1,-28.0,0.95,0,0
31,13,2,1,0,17.0,0.95,0,0
32,11,1,0,1,-14.0,0.95,0,0
33,14,0,0,1,19.0,0.95,0,0
34,6,3,0,1,-48.0,0.95,0,0
35,19,2,1,0,0.0,0.95,0,0
36,13,4,0,1,-47.0,0.95,0,0
37,20,3,0,1,-7.0,0.95,0,0
38,10,2,0,1,-16.0,0.95,0,0
39,6,1,0,1,-20.0,0.95,0,0
40,9,2,0,1,-15.0,0.95,0,0
41,9,3,0,1,-18.0,0.95,0,0
42,19,5,1,0,-42.0,0.95,0,0
43,24,5,0,1,16.0,0.95,0,0
44,8,1,0,1,0.0,0.95,0,0
45,18,5,0,1,-44.0,0.95,0,0
46,16,6,0,1,-67.0,0.95,0,0
47,18,1,1,0,26.0,0.95,0,0
48,23,10,1,1,-105.0,0.95,0,0
49,6,1,0,1,-20.0,0.95,0,0
50,25,25,0,5,-380.0,0,0,1
50,15,4,0,1,-27.0,0.943475,0,0
51,12,3,0,1,-32.0,0.95,0,0
52,8,1,0,1,-11.0,0.95,0,0
53,6,1,0,1,-20.0,0.95,0,0
54,16,4,0,1,-39.0,0.95,0,0
55,18,6,0,1,-69.0,0.95,0,0
56,18,4,0,1,-19.0,0.95,0,0
57,41,10,0,1,-71.0,0.95,0,0
58,31,12,1,0,-97.0,0.95,0,0
59,44,10,0,1,3.0,0.95,0,0
60,6,3,0,1,-48.0,0.95,0,0
61,6,5,0,1,-76.0,0.95,0,0
62,7,2,0,1,-24.0,0.95,0,0
63,12,4,1,0,-21.0,0.95,0,0
64,6,0,0,1,-6.0,0.95,0,0
65,17,4,1,0,-26.0,0.95,0,0
66,7,3,0,1,-38.0,0.95,0,0
67,20,3,0,1,4.0,0.95,0,0
68,11,1,0,1,8.0,0.95,0,0
69,29,8,0,1,-42.0,0.95,0,0
70,16,3,0,1,8.0,0.95,0,0
71,7,1,0,1,-10.0,0.95,0,0
72,13,4,0,1,-47.0,0.95,0,0
73,47,13,1,0,-94.0,0.95,0,0
74,31,8,0,1,-55.0,0.95,0,0
75,20,3,0,1,-7.0,0.95,0,0
76,7,2,0,1,-24.0,0.95,0,0
77,20,8,1,0,-85.0,0.95,0,0
78,19,4,1,0,-28.0,0.95,0,0
79,31,9,1,0,-66.0,0.95,0,0
80,11,6,0,1,-84.0,0.95,0,0
81,23,3,0,1,12.0,0.95,0,0
82,23,4,0,1,-13.0,0.95,0,0
83,6,5,0,1,-76.0,0.95,0,0
84,6,2,0,1,-34.0,0.95,0,0
85,15,5,0,1,-30.0,0.95,0,0
86,81,21,1,0,-108.0,0.95,0,0
87,17,5,1,0,-40.0,0.9479749999999999,53.79624581336975,0
88,15,5,0,1,-52.0,0.9446,30.746551871299744,0
89,9,4,0,1,-43.0,0.9425749999999999,12.697990477085114,0
90,17,3,0,1,-4.0,0.93875,20.669999837875366,0
91,33,5,0,1,7.0,0.931325,94.5902408361435,0
92,12,2,1,0,7.0,0.9286249999999999,21.692012310028076,0
93,37,4,0,1,83.0,0.9203,56.475313901901245,0
94,23,2,1,0,40.0,0.915125,33.67437136173248,0
95,16,6,1,0,-53.0,0.9115249999999999,26.996294617652893,0
96,15,3,1,0,1.0,0.90815,24.478061079978943,0
97,21,6,0,1,-39.0,0.9034249999999999,30.297061026096344,0
98,31,5,1,0,-10.0,0.89645,47.481308817863464,0
99,23,2,1,0,51.0,0.8912749999999999,33.31661003828049,0
100,975,0,102,0,5940.0,0,0,1
100,23,4,1,0,12.0,0.6656,34.03223729133606,0
101,19,4,1,0,27.0,0.6613249999999999,178.19041562080383,0
102,30,4,1,0,104.0,0.654575,86.09277772903442,0
103,12,0,1,0,35.0,0.651875,27.17751944065094,0
104,20,4,1,0,-18.0,0.647375,47.346911907196045,0
105,20,2,1,0,54.0,0.642875,50.90383446216583,0
106,18,1,1,0,59.0,0.638825,39.52101022005081,0
107,13,6,0,1,-42.0,0.6359,38.31636047363281,0
108,37,5,1,0,116.0,0.627575,95.00570142269135,0
109,18,2,1,0,1.0,0.623525,48.3752167224884,0
110,11,3,1,0,-6.0,0.62105,29.375887393951416,0
111,23,1,1,0,98.0,0.615875,117.01275730133057,0
112,11,1,1,0,22.0,0.6134,47.319310903549194,0
113,10,0,1,0,37.0,0.6111500000000001,33.131593227386475,0
114,7,3,0,1,-38.0,0.609575,28.043970823287964,0
115,29,5,1,0,91.0,0.6030500000000001,107.46626019477844,0
116,22,2,1,0,41.0,0.5981000000000001,68.14479064941406,0
117,13,3,1,0,-8.0,0.595175,37.487003445625305,0
118,8,0,1,0,39.0,0.593375,25.159044981002808,0
119,11,3,1,0,-6.0,0.5909,37.78735172748566,0
120,15,3,1,0,-10.0,0.5875250000000001,52.13851499557495,0
121,10,2,1,0,9.0,0.585275,43.840784549713135,0
122,13,0,1,0,78.0,0.58235,44.35837256908417,0
123,9,0,1,0,38.0,0.580325,27.931150674819946,0
124,13,1,1,0,31.0,0.5774,33.93828725814819,0
125,9,0,1,0,38.0,0.575375,29.93651294708252,0
126,33,3,1,0,104.0,0.56795,90.70367085933685,0
127,13,0,1,0,78.0,0.565025,37.46089196205139,0
128,26,3,1,0,78.0,0.559175,79.74221110343933,0
129,10,1,1,0,23.0,0.556925,26.70185625553131,0
130,31,7,1,0,-38.0,0.5499499999999999,100.42129337787628,0
131,24,1,1,0,108.0,0.5445500000000001,340.33980321884155,0
132,14,1,1,0,63.0,0.5414,91.69690752029419,0
133,28,3,1,0,65.0,0.5351,139.03380608558655,0
134,27,4,1,0,107.0,0.5290250000000001,137.50439763069153,0
135,18,5,0,1,0.0,0.524975,93.18976473808289,0
136,10,2,1,0,9.0,0.522725,43.61584234237671,0
137,26,6,1,0,-8.0,0.516875,120.29473495483398,0
138,15,0,1,0,76.0,0.5135000000000001,68.53372979164124,0
139,14,4,1,0,-23.0,0.5103500000000001,73.5838360786438,0
140,12,0,1,0,35.0,0.50765,56.89253032207489,0
141,19,3,1,0,30.0,0.503375,345.94935417175293,0
142,19,3,1,0,74.0,0.49910000000000004,180.11585068702698,0
143,10,2,1,0,9.0,0.49685,66.51171398162842,0
144,13,1,1,0,20.0,0.493925,81.15412712097168,0
145,7,0,1,0,40.0,0.49235,50.51857042312622,0
146,14,0,1,0,44.0,0.4892,90.00747489929199,0
147,32,7,1,0,49.0,0.48200000000000004,214.19051909446716,0
148,29,4,1,0,94.0,0.47547500000000004,194.19662010669708,0
149,9,0,1,0,38.0,0.47345000000000004,45.74200963973999,0
150,975,0,102,0,5940.0,0,0,1
150,10,2,1,0,9.0,0.25070000000000003,65.40642762184143,0
151,15,0,1,0,120.0,0.24732500000000002,256.7324285507202,0
152,10,1,1,0,23.0,0.24507500000000004,90.50293016433716,0
153,16,0,1,0,119.0,0.2414750000000001,147.27397680282593,0
154,7,0,1,0,40.0,0.2399000000000001,67.06328773498535,0
155,9,1,1,0,24.0,0.23787500000000006,77.11813831329346,0
156,9,0,1,0,38.0,0.23585000000000012,58.782357692718506,0
157,18,1,1,0,114.0,0.23180000000000012,141.35677003860474,0
158,16,0,1,0,119.0,0.22820000000000007,119.41320419311523,0
159,22,0,1,0,157.0,0.22325000000000006,197.94545316696167,0
160,21,1,1,0,144.0,0.21852500000000008,178.13192892074585,0
161,25,0,1,0,198.0,0.2129000000000001,831.5006833076477,0
162,17,0,1,0,129.0,0.209075,92.81704497337341,0
163,12,0,1,0,79.0,0.2063750000000001,62.49840545654297,0
164,8,0,1,0,39.0,0.20457500000000006,39.400604486465454,0
165,25,1,1,0,184.0,0.19895000000000007,112.26840686798096,0
166,11,0,1,0,80.0,0.19647500000000007,49.79276895523071,0
167,12,0,1,0,79.0,0.19377500000000003,47.06450581550598,0
168,12,0,1,0,79.0,0.1910750000000001,50.72518181800842,0
169,15,0,1,0,120.0,0.1877000000000001,64.61650276184082,0
170,7,0,1,0,40.0,0.1861250000000001,26.839049577713013,0
171,21,0,1,0,158.0,0.18140000000000012,160.22853899002075,0
172,8,0,1,0,39.0,0.1796000000000001,46.02007746696472,0
173,7,0,1,0,40.0,0.1780250000000001,36.0301878452301,0
174,20,0,1,0,115.0,0.17352500000000004,99.13829231262207,0
175,18,0,1,0,117.0,0.16947500000000004,82.0637526512146,0
176,25,0,1,0,198.0,0.16385000000000005,116.67639064788818,0
177,12,0,1,0,79.0,0.16115000000000013,59.77305269241333,0
178,11,0,1,0,80.0,0.15867500000000012,50.03093934059143,0
179,12,0,1,0,79.0,0.15597500000000009,59.02972936630249,0
180,8,0,1,0,50.0,0.15417500000000006,37.704891204833984,0
181,12,0,1,0,79.0,0.15147500000000003,68.42935466766357,0
182,28,0,1,0,195.0,0.14517500000000005,144.16191816329956,0
183,22,1,1,0,143.0,0.14022500000000004,111.56610345840454,0
184,7,0,1,0,40.0,0.13865000000000005,30.518869638442993,0
185,26,2,1,0,169.0,0.13280000000000003,135.00032567977905,0
186,24,0,1,0,199.0,0.12740000000000007,100.33190286159515,0
187,7,0,1,0,40.0,0.12582500000000008,33.67426824569702,0
188,17,1,1,0,104.0,0.12200000000000011,83.93974041938782,0
189,15,0,1,0,120.0,0.11862500000000009,76.17067074775696,0
190,11,0,1,0,80.0,0.11615000000000009,62.11112642288208,0
191,12,0,1,0,79.0,0.11345000000000005,115.8798451423645,0
192,56,5,1,0,361.0,0.1008500000000001,356.900194644928,0
193,12,0,1,0,79.0,0.09815000000000007,75.56188654899597,0
194,7,0,1,0,40.0,0.09657500000000008,46.14729833602905,0
195,10,0,1,0,37.0,0.0943250000000001,52.94339418411255,0
196,19,0,1,0,160.0,0.09005000000000007,120.15422081947327,0
197,7,0,1,0,40.0,0.08847500000000008,46.95606851577759,0
198,7,0,1,0,40.0,0.08690000000000009,45.72709274291992,0
199,18,2,1,0,89.0,0.08285000000000009,125.05219602584839,0
200,724,11,43,2,4827.0,0,0,1
200,16,0,1,0,119.0,0.05,92.71773362159729,0
201,7,0,1,0,40.0,0.05,165.0148811340332,0
202,7,0,1,0,40.0,0.05,87.61674213409424,0
203,16,0,1,0,119.0,0.05,135.88140678405762,0
204,16,0,1,0,119.0,0.05,124.94983625411987,0
205,11,0,1,0,80.0,0.05,98.19886493682861,0
206,19,0,1,0,160.0,0.05,146.48573637008667,0
207,12,0,1,0,79.0,0.05,76.58939981460571,0
208,7,0,1,0,40.0,0.05,53.955113887786865,0
209,15,0,1,0,120.0,0.05,118.94590425491333,0
210,11,0,1,0,80.0,0.05,75.89204382896423,0
211,7,0,1,0,40.0,0.05,60.10614061355591,0
212,7,0,1,0,40.0,0.05,54.17251682281494,0
213,7,0,1,0,40.0,0.05,48.08601951599121,0
214,11,0,1,0,80.0,0.05,87.1738953590393,0
215,20,0,1,0,170.0,0.05,161.36526727676392,0
216,11,0,1,0,80.0,0.05,93.62505531311035,0
217,8,0,1,0,39.0,0.05,64.14526081085205,0
218,7,0,1,0,40.0,0.05,62.55255842208862,0
219,55,0,1,0,476.0,0.05,443.71122217178345,0
220,7,0,1,0,40.0,0.05,61.27499055862427,0
221,27,0,1,0,240.0,0.05,193.61527943611145,0
222,11,0,1,0,80.0,0.05,84.20909070968628,0
223,17,1,1,0,104.0,0.05,114.88725590705872,0
224,27,0,0,1,204.0,0.05,200.36967420578003,0
225,9,0,1,0,38.0,0.05,59.567262172698975,0
