episode,step_count,wall_collisions,box_collisions,endless_loops,reward,train_loss,validation
0,25,25,0,5,-255,0,1
0,0,0,0,0,0,0,0
1,18,5,0,1,-30.0,0,0
2,22,6,1,0,-18.0,0,0
3,10,3,0,1,-15.0,0,0
4,24,3,1,0,7.0,0,0
5,20,2,0,1,6.0,0,0
6,19,5,1,0,-17.0,0,0
7,19,4,0,1,-11.0,0,0
8,10,2,1,0,19.0,0,0
9,24,7,0,1,-21.0,0,0
10,33,13,1,0,-59.0,0,0
11,35,13,0,1,-42.0,0,0
12,17,3,1,0,3.0,0,0
13,14,6,0,1,-13.0,0,0
14,13,0,1,0,34.0,0,0
15,15,2,1,0,14.0,0,0
16,11,1,0,1,2.0,0,0
17,14,4,0,1,-6.0,0,0
18,22,4,1,0,-11.0,0,0
19,30,5,1,0,27.0,0,0
20,9,2,0,1,-5.0,0,0
21,15,5,1,0,-2.0,0,0
22,16,2,1,0,24.0,0,0
23,36,5,1,0,54.0,0,0
24,21,3,1,0,-1.0,0,0
25,13,1,0,1,22.0,0,0
26,16,4,0,1,-19.0,0,0
27,21,6,1,0,-17.0,0,0
28,9,3,0,1,-25.0,0,0
29,21,11,0,1,-65.0,0,0
30,6,1,0,1,-15.0,0,0
31,29,5,1,1,28.0,0,0
32,16,3,0,1,1.0,0,0
33,13,5,0,1,-36.0,0,0
34,6,2,0,1,-24.0,0,0
35,20,1,1,0,18.0,0,0
36,35,9,0,1,-28.0,0,0
37,22,5,1,0,-9.0,0,0
38,16,1,1,0,22.0,0,0
39,27,2,1,0,57.0,0,0
40,34,6,1,0,47.0,0,0
41,20,4,1,0,-9.0,0,0
42,15,5,1,0,-13.0,0,0
43,13,2,1,0,27.0,0,0
44,25,2,1,0,15.0,0,0
45,6,3,0,1,-33.0,0,0
46,20,6,1,0,-16.0,0,0
47,41,9,1,0,24.0,0,0
48,15,3,1,0,5.0,0,0
49,8,4,0,1,-33.0,0,0
50,25,25,0,5,-255,0,1
50,6,3,0,1,-33.0,0,0
51,6,3,0,1,-33.0,0,0
52,20,4,1,0,-9.0,0,0
53,13,4,0,1,-27.0,0,0
54,12,2,0,1,3.0,0,0
55,21,5,0,1,0.0,0,0
56,14,4,1,0,-3.0,0,0
57,6,1,0,1,-15.0,0,0
58,17,3,1,0,3.0,0,0
59,12,3,0,1,-6.0,0,0
60,14,1,0,1,10.0,0,0
61,18,1,0,1,17.0,0,0
62,15,5,0,1,-27.0,0,0
63,18,2,1,0,11.0,0,0
64,19,2,0,1,29.0,0,0
65,9,4,0,1,-23.0,0,0
66,21,2,1,0,8.0,0,0
67,31,5,1,0,59.0,0,0
68,24,8,1,0,-49.0,0,0
69,15,5,0,1,-27.0,0,0
70,29,7,1,0,-1.0,0,0
71,16,1,1,0,22.0,0,0
72,26,2,1,0,58.0,0,0
73,20,6,1,0,-27.0,0,0
74,9,2,0,1,-16.0,0,0
75,15,4,0,1,-7.0,0,0
76,8,3,0,1,-13.0,0,0
77,13,1,1,0,36.0,0,0
78,9,2,0,1,-16.0,0,0
79,11,2,0,1,-7.0,0,0
80,29,11,1,0,-26.0,0,0
81,47,15,0,1,-6.0,0,0
82,21,4,0,1,9.0,0,0
83,12,3,0,1,-17.0,58.531484603881836,0
84,8,1,0,1,5.0,76.94245505332947,0
85,19,6,0,1,-7.0,111.72912263870239,0
86,6,2,0,1,-24.0,117.82030457258224,0
87,20,2,0,1,6.0,141.1417636871338,0
88,13,3,1,0,18.0,155.25731217861176,0
89,35,5,1,0,55.0,192.93443773686886,0
90,53,13,1,0,53.0,240.59980256855488,0
91,38,6,1,0,54.0,272.6447847932577,0
92,15,5,1,0,-13.0,285.8290781825781,0
93,19,1,1,0,30.0,301.747098967433,0
94,26,2,1,0,58.0,324.6038797944784,0
95,42,5,0,1,67.0,358.99980437755585,0
96,29,5,1,0,17.0,381.6660580635071,0
97,14,2,0,1,23.0,393.02244967222214,0
98,9,2,0,1,-5.0,399.90410953760147,0
99,18,0,1,0,29.0,414.3207089304924,0
100,62,0,5,0,520,0,1
100,16,4,1,0,6.0,424.56112214922905,0
101,14,2,1,0,26.0,437.22250095009804,0
102,25,5,1,0,65.0,455.4261773824692,0
103,50,14,1,0,47.0,494.30096688866615,0
104,28,4,1,0,82.0,517.9426084160805,0
105,21,7,1,0,7.0,535.3713709414005,0
106,10,0,1,0,37.0,544.8366657495499,0
107,31,8,0,1,-4.0,566.7119166851044,0
108,12,2,1,0,17.0,574.8030923604965,0
