episode,step_count,wall_collisions,box_collisions,endless_loops,reward,train_loss,validation
0,25,23,0,5,-237,0,1
0,0,0,0,0,0,0,0
1,17,4,0,1,13.0,0,0
2,23,6,1,0,-19.0,0,0
3,13,1,1,0,25.0,0,0
4,9,2,0,1,-5.0,0,0
5,29,7,0,1,-4.0,0,0
6,14,4,0,1,-17.0,0,0
7,25,9,1,0,-15.0,0,0
8,17,3,1,0,3.0,0,0
9,17,1,0,1,40.0,0,0
10,6,3,0,1,-33.0,0,0
11,23,8,0,1,-40.0,0,0
12,7,1,0,1,-5.0,0,0
13,25,7,1,0,-41.0,0,0
14,13,3,1,0,7.0,0,0
15,12,4,0,1,-15.0,0,0
16,17,7,1,0,-33.0,0,0
17,10,3,0,1,-15.0,0,0
18,25,4,0,1,5.0,0,0
19,15,2,1,0,14.0,0,0
20,24,2,1,0,60.0,0,0
21,27,4,1,0,28.0,0,0
22,8,1,0,1,-6.0,0,0
23,10,2,0,1,5.0,0,0
24,6,1,0,1,-15.0,0,0
25,9,2,0,1,-5.0,0,0
26,18,6,1,0,-25.0,0,0
27,11,1,0,1,24.0,0,0
28,22,1,0,1,79.0,0,0
29,7,3,0,1,-23.0,0,0
30,20,1,1,0,29.0,0,0
31,23,5,0,1,-24.0,0,0
32,19,0,1,0,28.0,0,0
33,23,4,0,1,18.0,0,0
34,25,3,1,0,6.0,0,0
35,7,3,0,1,-23.0,0,0
36,23,5,1,0,-10.0,0,0
37,28,5,1,0,73.0,0,0
38,20,7,1,0,-25.0,0,0
39,6,1,0,1,-15.0,0,0
40,15,3,0,1,35.0,0,0
41,8,1,0,1,-6.0,0,0
42,9,3,0,1,-25.0,0,0
43,14,6,0,1,-35.0,0,0
44,11,3,0,1,-16.0,0,0
45,6,3,0,1,-33.0,0,0
46,15,2,1,0,25.0,0,0
47,14,5,0,1,-15.0,0,0
48,29,7,1,0,10.0,0,0
49,10,3,0,1,-15.0,0,0
50,34,26,1,4,-215,0,1
50,13,1,1,0,25.0,0,0
51,12,7,0,1,-64.0,0,0
52,15,2,1,0,14.0,0,0
53,19,3,1,0,45.0,0,0
54,16,4,0,1,-19.0,0,0
55,29,8,0,1,9.0,0,0
56,6,1,0,1,-15.0,0,0
57,24,4,1,0,-13.0,0,0
58,15,5,1,0,-13.0,0,0
59,17,1,0,1,29.0,0,0
60,10,5,0,1,-33.0,0,0
61,6,1,0,1,-15.0,0,0
62,14,0,1,0,33.0,0,0
