episode,step_count,wall_collisions,box_collisions,endless_loops,reward,train_loss,validation
0,57,0,5,0,437,0,1
0,0,0,0,0,0,0,0
1,30,4,1,0,69.0,0,0
2,6,1,0,1,-15.0,0,0
3,28,5,0,1,37.0,0,0
4,14,2,0,1,23.0,0,0
5,11,8,0,1,-61.0,0,0
6,31,5,1,0,26.0,0,0
7,12,1,1,0,37.0,0,0
8,18,1,1,0,31.0,0,0
9,17,1,1,0,32.0,0,0
10,16,3,1,0,4.0,0,0
11,6,1,0,1,-15.0,0,0
12,6,3,0,1,-33.0,0,0
13,12,2,0,1,14.0,0,0
14,6,3,0,1,-33.0,0,0
15,6,3,0,1,-33.0,0,0
16,9,5,0,1,-43.0,0,0
17,16,6,0,1,-37.0,0,0
18,11,2,0,1,4.0,0,0
19,12,1,1,0,26.0,0,0
20,41,13,1,0,-12.0,0,0
21,45,10,0,1,63.0,0,0
22,13,3,1,0,7.0,0,0
23,28,5,1,0,18.0,0,0
24,18,4,1,0,-7.0,0,0
25,21,3,1,0,10.0,0,0
26,25,11,1,0,-77.0,0,0
27,37,6,1,0,55.0,0,0
28,11,1,0,1,13.0,0,0
29,28,6,1,0,-24.0,0,0
30,21,7,1,0,-37.0,0,0
31,17,3,1,0,3.0,0,0
32,20,2,0,1,28.0,0,0
33,19,4,1,0,3.0,0,0
34,7,2,0,1,-14.0,0,0
35,17,5,0,1,-29.0,0,0
36,21,5,1,0,-8.0,0,0
37,37,4,1,0,18.0,0,0
38,17,0,1,0,74.0,0,0
39,18,1,0,1,39.0,0,0
40,13,4,0,1,-27.0,0,0
41,13,2,0,1,-9.0,0,0
42,24,3,0,1,15.0,0,0
43,13,4,1,0,9.0,0,0
44,8,0,0,1,3.0,0,0
45,20,5,1,0,-18.0,0,0
46,21,3,1,0,-1.0,0,0
47,18,2,1,0,11.0,0,0
48,17,7,1,0,-33.0,0,0
49,23,6,1,0,25.0,0,0
50,62,0,5,0,520,0,1
50,17,6,0,1,-16.0,0,0
51,14,4,0,1,-17.0,0,0
52,33,10,0,1,-13.0,0,0
53,6,5,0,1,-51.0,0,0
54,6,1,0,1,-15.0,0,0
55,27,5,1,0,30.0,0,0
56,6,3,0,1,-33.0,0,0
57,22,2,1,0,62.0,0,0
58,15,3,1,0,5.0,0,0
59,52,16,1,0,-17.0,0,0
60,16,3,0,1,-10.0,0,0
61,20,4,1,0,2.0,0,0
62,20,9,0,1,-57.0,0,0
63,6,1,0,1,-15.0,0,0
64,21,5,0,1,-22.0,0,0
65,6,0,0,1,-6.0,0,0
66,6,3,0,1,-33.0,0,0
67,18,4,1,0,-7.0,0,0
68,10,3,0,1,-15.0,0,0
69,31,9,0,1,20.0,0,0
70,14,5,0,1,-37.0,0,0
71,19,8,0,1,-25.0,0,0
72,13,2,1,0,27.0,0,0
73,6,2,0,1,-24.0,0,0
74,23,6,0,1,-11.0,0,0
75,10,1,0,1,3.0,0,0
76,21,2,0,1,16.0,0,0
77,11,2,0,1,-7.0,0,0
78,34,6,1,0,58.0,0,0
79,17,4,0,1,-9.0,0,0
80,21,6,0,1,-42.0,0,0
81,23,5,1,0,-21.0,0,0
82,19,3,0,1,9.0,0,0
83,20,4,1,0,-9.0,5.386440277099609,0
84,7,1,0,1,-5.0,51.94641423225403,0
85,6,3,0,1,-33.0,68.92248606681824,0
86,13,6,0,1,-45.0,94.10573077201843,0
87,24,4,1,0,-2.0,125.83819478750229,0
88,24,5,1,0,-11.0,150.87652054429054,0
89,9,0,0,1,13.0,159.02353623509407,0
90,30,2,1,0,87.0,182.63498803973198,0
91,10,2,0,1,-6.0,193.39401945471764,0
92,11,1,1,0,27.0,201.1945980489254,0
93,16,1,0,1,41.0,216.109687179327,0
94,11,0,1,0,36.0,223.86579012870789,0
95,12,3,1,0,8.0,234.52417469024658,0
96,22,6,1,0,15.0,251.1642135977745,0
97,13,1,0,1,44.0,260.1549814939499,0
98,14,1,1,0,24.0,272.9605359137058,0
99,14,3,1,0,6.0,284.0223023891449,0
100,62,0,5,0,520,0,1
100,15,3,1,0,5.0,293.74691747128963,0
101,9,2,0,1,-16.0,301.8635227829218,0
102,10,1,1,0,28.0,309.954912558198,0
103,17,5,1,0,-15.0,324.3857852369547,0
104,27,7,1,0,1.0,344.14257375895977,0
105,42,9,0,1,53.0,378.4105791300535,0
106,17,3,1,0,14.0,390.5763663351536,0
107,15,5,1,0,-13.0,402.98942771553993,0
108,19,8,1,0,-44.0,416.10973469913006,0
109,17,2,1,0,12.0,429.1752881258726,0
110,16,6,0,1,-37.0,442.01359160244465,0
111,48,3,1,0,159.0,478.3188206255436,0
112,25,3,1,0,83.0,497.0515171289444,0
113,15,3,1,0,5.0,507.30370822548866,0
114,25,1,1,0,57.0,526.8322595208883,0
115,23,5,1,0,-10.0,545.1457389295101,0
116,11,3,0,1,-5.0,552.6688641011715,0
117,29,5,1,0,61.0,574.4641053602099,0
118,37,1,0,1,141.0,601.528194360435,0
119,13,2,1,0,16.0,612.2629017755389,0
120,13,1,1,0,25.0,620.4235356003046,0
121,40,8,1,0,111.0,650.9057931303978,0
122,10,1,1,0,39.0,657.128315538168,0
123,11,3,1,0,9.0,664.5306528806686,0
124,10,1,0,1,25.0,672.8560574054718,0
125,12,1,0,1,23.0,681.0909800827503,0
126,10,2,1,0,19.0,690.7738664150238,0
127,24,4,1,0,31.0,708.4079429581761,0
128,27,3,1,0,125.0,731.1581647917628,0
129,17,7,1,0,-33.0,748.2705592438579,0
130,35,5,1,0,99.0,774.0521348789334,0
131,25,5,1,0,65.0,789.5840872451663,0
132,28,4,1,0,38.0,810.9125660285354,0
133,12,1,0,1,12.0,819.0299611613154,0
134,13,0,1,0,34.0,827.0204553231597,0
135,27,6,1,0,54.0,847.2088200077415,0
136,17,3,1,0,3.0,859.1116851195693,0
137,16,2,1,0,13.0,872.6719634756446,0
138,30,5,0,1,35.0,894.7679725214839,0
139,24,1,1,0,102.0,914.5596363171935,0
140,31,4,1,0,68.0,936.0059717819095,0
141,12,2,1,0,17.0,943.520035661757,0
142,11,0,1,0,36.0,953.5944717302918,0
143,12,1,1,0,37.0,962.1362519338727,0
144,6,2,0,1,-24.0,967.2865458801389,0
145,17,3,1,0,3.0,979.8604664877057,0
146,20,2,1,0,53.0,993.9756983295083,0
147,21,3,1,0,87.0,1007.7601350173354,0
148,20,4,1,0,35.0,1020.752347998321,0
149,22,0,1,0,80.0,1035.0697782859206,0
150,145,0,5,0,1229,0,1
150,16,1,1,0,77.0,1045.9462568685412,0
151,22,3,1,0,86.0,1060.7541575059295,0
152,21,6,1,0,16.0,1074.3952107653022,0
153,28,5,0,1,70.0,1092.45242433995,0
154,8,0,1,0,50.0,1097.3066943213344,0
155,20,5,1,0,37.0,1111.319475851953,0
156,42,1,1,0,271.0,1142.4094859585166,0
157,34,4,1,0,153.0,1167.0452881529927,0
158,19,1,1,0,63.0,1176.638398654759,0
159,11,0,1,0,36.0,1183.504908196628,0
160,20,1,0,1,81.0,1196.1023158356547,0
161,9,0,1,0,38.0,1201.7945127859712,0
162,15,3,0,1,46.0,1212.4266927316785,0
163,14,2,1,0,15.0,1223.5601587668061,0
164,66,16,1,0,145.0,1270.12744320184,0
165,13,0,1,0,34.0,1277.806624121964,0
166,26,3,1,0,82.0,1298.139858134091,0
167,22,2,1,0,106.0,1313.5200845226645,0
168,14,5,0,1,-4.0,1321.7445050254464,0
169,23,0,1,0,123.0,1337.4125129207969,0
170,11,2,1,0,18.0,1344.515988908708,0
171,32,2,1,0,96.0,1364.9381962940097,0
172,27,4,1,0,83.0,1384.324946962297,0
173,12,1,1,0,37.0,1392.3322108015418,0
174,17,1,1,0,76.0,1402.7545657083392,0
