episode,step_count,wall_collisions,box_collisions,endless_loops,reward,train_loss,validation
0,25,23,0,5,-237,0,1
0,0,0,0,0,0,0,0
1,17,4,0,1,13.0,0,0
2,45,9,0,1,61.0,0,0
3,29,7,0,1,-4.0,0,0
4,17,3,1,0,3.0,0,0
5,45,13,1,0,28.0,0,0
6,10,0,0,1,12.0,0,0
7,6,1,0,1,-15.0,0,0
8,23,6,0,1,-22.0,0,0
9,7,1,0,1,-5.0,0,0
10,24,5,0,1,-3.0,0,0
11,13,3,1,0,7.0,0,0
12,18,6,1,0,-25.0,0,0
13,22,9,0,1,-37.0,0,0
14,25,4,0,1,5.0,0,0
15,52,2,1,0,164.0,0,0
16,20,2,1,0,20.0,0,0
17,12,3,0,1,5.0,0,0
18,6,1,0,1,-15.0,0,0
19,29,7,1,0,-1.0,0,0
20,26,4,1,0,40.0,0,0
21,11,3,0,1,-27.0,0,0
22,21,2,1,0,19.0,0,0
23,23,5,0,1,-24.0,0,0
24,42,4,0,1,76.0,0,0
25,29,3,0,1,32.0,0,0
26,24,6,1,0,-20.0,0,0
27,11,1,1,0,27.0,0,0
28,12,1,1,0,37.0,0,0
29,23,9,1,0,-46.0,0,0
30,8,0,0,1,3.0,0,0
31,11,0,1,0,47.0,0,0
32,12,1,0,1,-10.0,0,0
33,10,4,0,1,-35.0,0,0
34,12,4,0,1,-15.0,0,0
35,13,5,0,1,-36.0,0,0
36,6,3,0,1,-33.0,0,0
37,22,2,1,0,51.0,0,0
38,6,5,0,1,-51.0,0,0
39,29,9,1,0,-8.0,0,0
40,10,4,0,1,-24.0,0,0
41,26,10,0,1,-28.0,0,0
42,18,2,1,0,22.0,0,0
43,32,9,0,1,41.0,0,0
44,29,8,0,1,9.0,0,0
45,6,0,0,1,-6.0,0,0
46,20,5,0,1,-10.0,0,0
47,26,6,1,0,11.0,0,0
48,9,1,0,1,15.0,0,0
49,8,3,0,1,-13.0,0,0
50,44,33,0,5,-225,0,1
50,6,1,0,1,-15.0,0,0
51,6,0,0,1,-6.0,0,0
52,26,2,1,0,135.0,0,0
53,18,3,0,1,-1.0,0,0
54,11,3,0,1,-27.0,0,0
55,12,3,0,1,-28.0,0,0
56,10,4,0,1,-35.0,0,0
57,22,2,1,0,18.0,0,0
58,22,4,0,1,-3.0,0,0
59,11,4,0,1,-25.0,0,0
60,12,4,0,1,-26.0,0,0
61,20,2,0,1,17.0,0,0
62,9,2,0,1,-5.0,0,0
