model_name,status,complexity,seed,mode,phosphene_resolution,edge_threshold,name,descr,fwd_reward,side_reward,box_reward,wall_reward,target_step_reward,n_target_steps,light_intensity,early_stop_reward,savedir,device,optimizer,lr_dqn,batch_size,validate_every,max_episodes,max_optim_steps,optimizations_per_step,reward_multiplier,reset_end_is_0,reset_end_is_1,reset_end_is_2,reset_end_is_3,reset_after_nr_sidesteps,imsize,stack_size,n_actions,ip,port,gamma,eps_start,eps_end,eps_delta,replay_start_size,target_update,memory_capacity,dist_feedback
exp2-aug11_comp_plain-seed_0-mode_edge-detection-phos_34-edge_1,todo,plain,0,edge-detection,34,1,Exp2-Aug11,Evaluating performance for different (fixed) CED thresholds,10,-1,-20,-15,99,100,1.0,0,./Experiments/Out/Exp2_Aug_11,cuda:0,adam,0.001,128,25,6000,175000,5,1.0,False,True,False,True,5,128,4,3,127.0.0.1,12000,0.9,0.95,0.05,-0.0001125,1500,50000,25000,False
exp2-aug11_comp_plain-seed_0-mode_edge-detection-phos_34-edge_10,todo,plain,0,edge-detection,34,10,Exp2-Aug11,Evaluating performance for different (fixed) CED thresholds,10,-1,-20,-15,99,100,1.0,0,./Experiments/Out/Exp2_Aug_11,cuda:0,adam,0.001,128,25,6000,175000,5,1.0,False,True,False,True,5,128,4,3,127.0.0.1,12000,0.9,0.95,0.05,-0.0001125,1500,50000,25000,False
exp2-aug11_comp_plain-seed_0-mode_edge-detection-phos_34-edge_100,todo,plain,0,edge-detection,34,100,Exp2-Aug11,Evaluating performance for different (fixed) CED thresholds,10,-1,-20,-15,99,100,1.0,0,./Experiments/Out/Exp2_Aug_11,cuda:0,adam,0.001,128,25,6000,175000,5,1.0,False,True,False,True,5,128,4,3,127.0.0.1,12000,0.9,0.95,0.05,-0.0001125,1500,50000,25000,False
exp2-aug11_comp_plain-seed_0-mode_edge-detection-phos_34-edge_1000,todo,plain,0,edge-detection,34,1000,Exp2-Aug11,Evaluating performance for different (fixed) CED thresholds,10,-1,-20,-15,99,100,1.0,0,./Experiments/Out/Exp2_Aug_11,cuda:0,adam,0.001,128,25,6000,175000,5,1.0,False,True,False,True,5,128,4,3,127.0.0.1,12000,0.9,0.95,0.05,-0.0001125,1500,50000,25000,False
exp2-aug11_comp_plain-seed_1-mode_edge-detection-phos_34-edge_1,todo,plain,1,edge-detection,34,1,Exp2-Aug11,Evaluating performance for different (fixed) CED thresholds,10,-1,-20,-15,99,100,1.0,0,./Experiments/Out/Exp2_Aug_11,cuda:0,adam,0.001,128,25,6000,175000,5,1.0,False,True,False,True,5,128,4,3,127.0.0.1,12000,0.9,0.95,0.05,-0.0001125,1500,50000,25000,False
exp2-aug11_comp_plain-seed_1-mode_edge-detection-phos_34-edge_10,todo,plain,1,edge-detection,34,10,Exp2-Aug11,Evaluating performance for different (fixed) CED thresholds,10,-1,-20,-15,99,100,1.0,0,./Experiments/Out/Exp2_Aug_11,cuda:0,adam,0.001,128,25,6000,175000,5,1.0,False,True,False,True,5,128,4,3,127.0.0.1,12000,0.9,0.95,0.05,-0.0001125,1500,50000,25000,False
exp2-aug11_comp_plain-seed_1-mode_edge-detection-phos_34-edge_100,todo,plain,1,edge-detection,34,100,Exp2-Aug11,Evaluating performance for different (fixed) CED thresholds,10,-1,-20,-15,99,100,1.0,0,./Experiments/Out/Exp2_Aug_11,cuda:0,adam,0.001,128,25,6000,175000,5,1.0,False,True,False,True,5,128,4,3,127.0.0.1,12000,0.9,0.95,0.05,-0.0001125,1500,50000,25000,False
exp2-aug11_comp_plain-seed_1-mode_edge-detection-phos_34-edge_1000,todo,plain,1,edge-detection,34,1000,Exp2-Aug11,Evaluating performance for different (fixed) CED thresholds,10,-1,-20,-15,99,100,1.0,0,./Experiments/Out/Exp2_Aug_11,cuda:0,adam,0.001,128,25,6000,175000,5,1.0,False,True,False,True,5,128,4,3,127.0.0.1,12000,0.9,0.95,0.05,-0.0001125,1500,50000,25000,False
exp2-aug11_comp_plain-seed_2-mode_edge-detection-phos_34-edge_1,todo,plain,2,edge-detection,34,1,Exp2-Aug11,Evaluating performance for different (fixed) CED thresholds,10,-1,-20,-15,99,100,1.0,0,./Experiments/Out/Exp2_Aug_11,cuda:0,adam,0.001,128,25,6000,175000,5,1.0,False,True,False,True,5,128,4,3,127.0.0.1,12000,0.9,0.95,0.05,-0.0001125,1500,50000,25000,False
exp2-aug11_comp_plain-seed_2-mode_edge-detection-phos_34-edge_10,todo,plain,2,edge-detection,34,10,Exp2-Aug11,Evaluating performance for different (fixed) CED thresholds,10,-1,-20,-15,99,100,1.0,0,./Experiments/Out/Exp2_Aug_11,cuda:0,adam,0.001,128,25,6000,175000,5,1.0,False,True,False,True,5,128,4,3,127.0.0.1,12000,0.9,0.95,0.05,-0.0001125,1500,50000,25000,False
